area_type,availability,BHK,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,0,2,Coomee ,1056,2,1,39.07,Alandi Road
Plot  Area,1,4,Theanmp,2600,5,3,120,Ambegaon Budruk
Built-up  Area,1,3,0,1440,2,3,62,Anandnagar
Super built-up  Area,1,3,Soiewre,1521,3,1,95,Aundh
Super built-up  Area,1,2,0,1200,2,1,51,Aundh Road
Super built-up  Area,1,2,DuenaTa,1170,2,1,38,Balaji Nagar
Super built-up  Area,0,4,Jaades ,2732,4,0,204,Baner
Super built-up  Area,1,4,Brway G,3300,4,0,600,Baner road
Super built-up  Area,1,3,0,1310,3,1,63.25,Bhandarkar Road
Super built-up  Area,0,3,0,1800,2,2,70,Bibvewadi
Plot  Area,1,4,Prrry M,2785,5,3,295,Bopodi
Super built-up  Area,1,2,Shncyes,1000,2,1,38,Budhwar Peth
Built-up  Area,1,2,0,1100,2,2,40,Bund Garden Road
Plot  Area,1,3,Skityer,2250,3,2,148,Camp
Super built-up  Area,1,2,PrntaEn,1175,2,2,73.5,Chandan Nagar
Super built-up  Area,1,3,Prityel,1180,3,2,48,Dapodi
Super built-up  Area,1,3,GrrvaGr,1540,3,3,60,Deccan Gymkhana
Super built-up  Area,1,3,PeBayle,2770,4,2,290,Dehu Road
Super built-up  Area,1,2,0,1100,2,2,48,Dhankawadi
Built-up  Area,1,1,0,600,1,1,15,Dhayari Phata
Super built-up  Area,0,3,She 2rk,1755,3,1,122,Dhole Patil Road
Plot  Area,1,4,Soitya ,2800,5,2,380,Erandwane
Super built-up  Area,1,3,0,1767,3,1,103,Fatima Nagar
Super built-up  Area,0,1,Bhe 2ko,510,1,0,25.25,Fergusson College Road
Super built-up  Area,0,3,0,1250,3,2,56,Ganesh Peth
Super built-up  Area,1,2,Itelaa ,660,1,1,23.1,Ganeshkhind
Built-up  Area,0,3,0,1610,3,2,81,Ghorpade Peth
Super built-up  Area,1,3,KBityo ,1025,2,1,47,Gokhale Nagar
Super built-up  Area,1,3,Prityel,1075,2,1,35,Guruwar peth
Super built-up  Area,1,3,Mahosya,1760,2,2,123,Hadapsar
Super built-up  Area,1,3,GrrvaGr,1693,3,3,57.39,Hadapsar Industrial Estate
Built-up  Area,1,3,Kantsce,1925,3,0,125,Hingne Khurd
Super built-up  Area,0,2,PrarePa,700,2,1,36,Jangali Maharaj Road
Super built-up  Area,1,2,0,1070,2,1,45.5,Kalyani Nagar
Super built-up  Area,1,3,Dieldli,1724,3,2,125,Karve Nagar
Super built-up  Area,1,3,0,1290,2,2,56.12,Karve Road
Built-up  Area,1,2,0,1143,2,2,45,Kasba Peth
Built-up  Area,1,2,Gentson,1296,2,0,81,Katraj
